tree_number	newick
20	(((1,2)1-2,(3,((4,5)4-5,((6,7)6-7,((8,(9,10,11,12,13)9-13,14)8-14,(((15,16)15-16,(17,18)17-18)15-18,(19,(20,21)20-21)19-21)15-21)8-21)6-21)4-21)3-21)1-21,22)1-22;
21	((((1,2)1-2,3)1-3,4,5,(6,((7,8)7-8,(9,10)9-10)7-10)6-10)1-10,11,((12,(13,14,15,(16,(17,18)17-18)16-18,19)13-19,20)12-20,21,22)12-22)1-22;
22	(1,((2,(3,((4,(((5,6)5-6,7,(8,(9,10,11)9-11)8-11)5-11,12)5-12)4-12,(13,14)13-14)4-14,15)3-15)2-15,16,(17,18)17-18)2-18,(19,20,21)19-21,22)1-22;
23	(1,(((2,3,4,5)2-5,6,(7,(8,9)8-9,(10,(11,12)11-12)10-12)7-12)2-12,13,(14,(((15,(16,17)16-17)15-17,(18,19)18-19)15-19,20,21)15-21)14-21)2-21,22)1-22;
24	((1,(2,3,((4,5,6)4-6,7)4-7,8)2-8)1-8,((9,(((10,(((11,12)11-12,13)11-13,(14,15)14-15,16)11-16)10-16,(17,18)17-18)10-18,19)10-19)9-19,(20,21)20-21,22)9-22)1-22;
25	(((((1,2,3,((4,5)4-5,6)4-6)1-6,(7,8)7-8)1-8,9)1-9,(10,11)10-11,12)1-12,13,(14,15,(16,17)16-17,18,(19,(20,21,22)20-22)19-22)14-22)1-22;
26	(1,(((2,(3,(((4,5,(6,7,8)6-8)4-8,9,10)4-10,(11,12)11-12)4-12)3-12,13)2-13,(14,15)14-15)2-15,16)2-16,(17,((18,19,20)18-20,(21,22)21-22)18-22)17-22)1-22;
27	(1,(2,((3,(4,5,(6,(7,8)7-8,(9,10,11)9-11,12)6-12,(((13,14)13-14,15)13-15,(16,(17,18,19)17-19)16-19)13-19)4-19)3-19,(20,(21,22)21-22)20-22)3-22)2-22)1-22;
28	(1,(2,(3,((4,(5,(((((6,(7,8)7-8)6-8,(9,10)9-10)6-10,(11,12)11-12)6-12,(13,(((14,15)14-15,16)14-16,17,((18,19)18-19,20)18-20)14-20)13-20)6-20,21)6-21)5-21)4-21,22)4-22)3-22)2-22)1-22;
29	(1,((2,3)2-3,4,(5,6,((((7,(8,9)8-9,(10,11)10-11)7-11,(12,13)12-13)7-13,((((14,(15,16)15-16)14-16,17,18)14-18,19)14-19,20)14-20)7-20,(21,22)21-22)7-22)5-22)2-22)1-22;
30	(1,((((((2,3)2-3,(4,((5,6)5-6,7)5-7)4-7)2-7,(8,(9,10)9-10)8-10,11)2-11,((((12,13)12-13,14)12-14,(15,16)15-16)12-16,17)12-17)2-17,18,(19,(20,21)20-21)19-21)2-21,22)2-22)1-22;
31	(1,((2,(3,4,((5,(6,7,8)6-8)5-8,9,(10,(((11,(((12,(13,14,15)13-15)12-15,16)12-16,17)12-17)11-17,18)11-18,19)11-19)10-19)5-19,20)3-20)2-20,21)2-21,22)1-22;
32	((1,((((2,(3,((4,(5,6)5-6,7,((8,9)8-9,10)8-10)4-10,11)4-11)3-11)2-11,12)2-12,(13,((14,(15,16,17)15-17)14-17,18)14-18)13-18)2-18,(19,20)19-20,21)2-21)1-21,22)1-22;
33	((1,(2,(3,(((((4,5)4-5,6)4-6,7)4-7,8,(9,(10,(11,12,(13,14)13-14)11-14,(15,16,17)15-17)10-17,18)9-18)4-18,19)4-19,20)3-20,21)2-21)1-21,22)1-22;
34	((1,2)1-2,(3,4)3-4,5,(6,((7,(((8,9)8-9,10)8-10,(((11,12)11-12,13)11-13,14)11-14)8-14,15)7-15,(16,17,(18,19)18-19)16-19)7-19)6-19,20,21,22)1-22;
35	((1,2,((3,(4,5)4-5)3-5,6,7)3-7)1-7,(8,(9,10,11)9-11,(12,13)12-13,(14,(15,(16,(((17,(18,19)18-19)17-19,20)17-20,21)17-21,22)16-22)15-22)14-22)8-22)1-22;
36	(((1,2,((3,(4,(5,6)5-6)4-6,(((7,8)7-8,9)7-9,10,11,12)7-12,13)3-13,14)3-14,15)1-15,((16,17,(18,19)18-19)16-19,20)16-20)1-20,21,22)1-22;
37	((1,(2,(3,(((4,5)4-5,(6,(7,((8,((9,((10,(11,12)11-12)10-12,13)10-13)9-13,14)9-14)8-14,15)8-15)7-15,(16,(17,18)17-18,19)16-19)6-19)4-19,20)4-20,21)3-21)2-21)1-21,22)1-22;
38	(1,((2,3)2-3,((((4,5)4-5,6,(7,8)7-8)4-8,(((9,10,((11,((12,13)12-13,14)12-14)11-14,15)11-15)9-15,(16,17)16-17)9-17,18,19)9-19)4-19,(20,21)20-21)4-21)2-21,22)1-22;
39	(((((1,2,(((((3,4)3-4,5)3-5,(6,((7,8)7-8,9,10)7-10)6-10)3-10,11)3-11,(12,13)12-13,14)3-14)1-14,15,(16,17)16-17,18)1-18,(19,20)19-20)1-20,21)1-21,22)1-22;
40	((((((1,2)1-2,(3,4)3-4,5)1-5,((((6,(7,(8,9)8-9)7-9)6-9,10)6-10,11)6-11,((12,13,(14,15)14-15)12-15,(16,17,18)16-18)12-18,19)6-19)1-19,20)1-20,21)1-21,22)1-22;
41	(1,2,3,(4,((5,(6,(((7,((8,9)8-9,10)8-10)7-10,11,12)7-12,(13,14)13-14,(15,16)15-16,(17,18,(19,20,21)19-21)17-21)7-21)6-21)5-21,22)5-22)4-22)1-22;
42	(1,((((2,3)2-3,4)2-4,((5,6)5-6,(7,((8,9)8-9,((((10,11)10-11,(12,13,(14,15)14-15)12-15,16,17)10-17,18)10-18,19)10-19)8-19)7-19)5-19)2-19,(20,(21,22)21-22)20-22)2-22)1-22;
43	((1,(2,3,4)2-4)1-4,((5,6)5-6,7)5-7,8,(9,10)9-10,(11,(12,13)12-13,14,15,((16,(17,18,((19,20)19-20,21)19-21)17-21)16-21,22)16-22)11-22)1-22;
44	((1,2)1-2,(((3,((((4,(5,6)5-6)4-6,(7,8)7-8)4-8,9)4-9,(10,11)10-11)4-11)3-11,(12,(13,14,(15,(16,17,18)16-18)15-18)13-18)12-18)3-18,19,20)3-20,(21,22)21-22)1-22;
45	(1,(2,(3,(4,5)4-5)3-5)2-5,((6,7)6-7,(8,((9,(10,11)10-11)9-11,12,13)9-13,(((14,15,(16,17)16-17)14-17,18)14-18,(19,20,21)19-21)14-21)8-21,22)6-22)1-22;
46	(((((((1,2)1-2,(3,4)3-4)1-4,((((5,6)5-6,7,8)5-8,9)5-9,(10,11,12,13,14)10-14)5-14)1-14,15,((16,17)16-17,18)16-18)1-18,19)1-19,20)1-20,21,22)1-22;
47	(1,(2,((3,4)3-4,(5,((((6,7)6-7,((8,9,((10,11)10-11,12,13,14)10-14)8-14,15,(16,17)16-17)8-17)6-17,18)6-18,19,20)6-20)5-20,21)3-21,22)2-22)1-22;
48	((1,2)1-2,((3,(4,((5,6,(7,8)7-8)5-8,(9,10)9-10,((11,12,13,(14,15,16)14-16)11-16,17)11-17,18,(19,20)19-20)5-20)4-20)3-20,(21,22)21-22)3-22)1-22;
49	((1,(2,(3,(4,(5,6)5-6)4-6,(7,8)7-8)3-8,9,(10,(11,(((12,13)12-13,14,15)12-15,16)12-16,(17,18,19)17-19)11-19)10-19,20)2-20,21)1-21,22)1-22;
50	((((((1,2)1-2,(3,(4,((5,((6,7)6-7,8)6-8)5-8,9)5-9)4-9)3-9,(10,(11,12)11-12)10-12)1-12,13)1-13,(14,15)14-15,(16,17)16-17)1-17,18)1-18,(19,20,21)19-21,22)1-22;
51	((1,(2,(3,(4,5)4-5)3-5)2-5,((6,((7,(((8,((9,(10,11)10-11)9-11,12)9-12)8-12,13,14)8-14,15)8-15)7-15,16)7-16)6-16,(17,(18,19,20,21)18-21)17-21)6-21)1-21,22)1-22;
52	((1,((2,3,4,5,6)2-6,(7,((8,(9,10,11)9-11,(12,13,(14,15)14-15,((16,((17,18)17-18,19)17-19)16-19,20)16-20)12-20)8-20,21)8-21)7-21)2-21)1-21,22)1-22;
53	((((((1,2,(3,((4,5)4-5,6,(7,(((8,9)8-9,10)8-10,11)8-11)7-11)4-11)3-11)1-11,12)1-12,(13,14)13-14)1-14,15,16,17)1-17,(18,19,20)18-20)1-20,21,22)1-22;
54	((1,((2,3,(4,(5,6)5-6)4-6)2-6,7,(((8,((9,10)9-10,(11,12)11-12,(13,14)13-14,15)9-15,16)8-16,17)8-17,(18,19)18-19)8-19,20)2-20)1-20,21,22)1-22;
55	(((1,((2,3)2-3,4)2-4)1-4,5)1-5,((6,7,8)6-8,((9,10)9-10,11,((12,13)12-13,14)12-14,15,16,(17,(18,(19,(20,21)20-21)19-21)18-21)17-21)9-21)6-21,22)1-22;
56	(((1,2)1-2,(((((3,(4,5)4-5)3-5,6)3-6,7,8)3-8,9)3-9,(((10,11)10-11,((12,13)12-13,14)12-14)10-14,((15,16,17)15-17,18)15-18)10-18)3-18,(19,(20,21)20-21)19-21)1-21,22)1-22;
57	((1,((2,(3,(4,5,6,(7,8,9)7-9)4-9)3-9)2-9,((((10,11)10-11,12)10-12,(13,14)13-14)10-14,(15,16)15-16)10-16)2-16)1-16,(17,18)17-18,(19,20,21,22)19-22)1-22;
58	((1,2,(((3,(4,(((5,6,7)5-7,8)5-8,(9,((10,(11,12)11-12)10-12,13,14)10-14)9-14)5-14,(15,16)15-16)4-16)3-16,17)3-17,18)3-18,(19,20)19-20)1-20,21,22)1-22;
59	((1,2)1-2,3,(4,5,(((6,(7,8,9)7-9)6-9,10)6-10,11,12)6-12,13,(14,(15,(16,17,18)16-18)15-18,19,20)14-20,21,22)4-22)1-22;
60	(1,(((2,3,4,5,6)2-6,(((7,8)7-8,(9,10)9-10)7-10,(((11,12)11-12,13,((14,(15,16,17)15-17)14-17,18)14-18,(19,20)19-20)11-20,21)11-21)7-21)2-21,22)2-22)1-22;
61	(1,(2,((3,4)3-4,5,(6,(7,8)7-8)6-8)3-8,(((9,10,(((11,12)11-12,13)11-13,((14,15)14-15,((16,17)16-17,18,19)16-19)14-19)11-19)9-19,(20,21)20-21)9-21,22)9-22)2-22)1-22;
62	((1,(2,3,4)2-4,5)1-5,(((6,((7,8,((9,10)9-10,11,12)9-12)7-12,((13,14)13-14,15)13-15,16)7-16,(17,18,19)17-19,20)6-20,21)6-21,22)6-22)1-22;
63	(1,((2,(3,((4,((5,6)5-6,7)5-7,(8,9)8-9)4-9,((10,11)10-11,12)10-12)4-12)3-12)2-12,(((13,14)13-14,(((15,((16,17,18)16-18,19)16-19)15-19,20)15-20,21)15-21)13-21,22)13-22)2-22)1-22;
64	((((1,((2,3)2-3,((((4,5,6)4-6,7)4-7,(8,9)8-9,(10,(11,12,(13,14)13-14)11-14)10-14,15)4-15,16)4-16)2-16)1-16,17,(18,19)18-19)1-19,20)1-20,21,22)1-22;
65	((((((1,2,(3,4)3-4,5,(6,(7,8,9)7-9,(10,11)10-11)6-11,12)1-12,(13,14)13-14)1-14,15,16)1-16,17)1-17,18)1-18,(19,(20,21)20-21,22)19-22)1-22;
66	(((((1,(2,3)2-3)1-3,4,5,(6,(7,((8,9,((10,11)10-11,(12,(13,14)13-14)12-14)10-14)8-14,15,16)8-16)7-16)6-16,17)1-17,18)1-18,((19,20)19-20,21)19-21)1-21,22)1-22;
67	((1,2)1-2,(3,4,(5,6,(7,8)7-8,((9,10)9-10,(((11,12,13)11-13,14,((15,16)15-16,17)15-17)11-17,18,19,20,21)11-21)9-21,22)5-22)3-22)1-22;
68	(1,(((((2,3,(4,5)4-5,6)2-6,7)2-7,(8,9)8-9)2-9,(10,11)10-11,(12,13)12-13)2-13,14,(15,16)15-16)2-16,17,((18,19)18-19,(20,21)20-21,22)18-22)1-22;
69	((((1,2,3,4)1-4,5)1-5,(6,7)6-7,(((8,9)8-9,10)8-10,11,((12,13)12-13,14)12-14,(15,16)15-16)8-16)1-16,(17,((18,19)18-19,(20,21)20-21)18-21)17-21,22)1-22;
70	((((1,2)1-2,3,4)1-4,5)1-5,6,(7,(((8,(9,10,11)9-11,(((12,13)12-13,14)12-14,15)12-15)8-15,(16,17,(18,19)18-19,(20,21)20-21)16-21)8-21,22)8-22)7-22)1-22;
71	(1,(((2,3)2-3,(((((4,((5,(6,7)6-7)5-7,8,9)5-9,10)4-10,11)4-11,12)4-12,(13,(14,(15,(16,17)16-17)15-17)14-17)13-17)4-17,18,19,20)4-20)2-20,21,22)2-22)1-22;
72	((1,((2,3)2-3,4)2-4,5)1-5,(6,7,(((8,(9,(10,11)10-11)9-11)8-11,12)8-12,((13,14)13-14,15)13-15,16)8-16,((17,18)17-18,(19,(20,21,22)20-22)19-22)17-22)6-22)1-22;
73	(1,2,((3,(((4,5)4-5,6,7)4-7,(8,((9,10)9-10,11)9-11,12)8-12,13)4-13)3-13,14,(15,16,((17,((18,(19,20)19-20)18-20,21)18-21)17-21,22)17-22)15-22)3-22)1-22;
74	((1,(((2,3,4)2-4,(5,6,(7,8)7-8,9)5-9)2-9,((10,11)10-11,((12,(13,(14,15)14-15)13-15)12-15,(16,17,18,19)16-19)12-19)10-19,(20,21)20-21)2-21)1-21,22)1-22;
75	((((1,2,((3,(((4,5,6)4-6,((7,8)7-8,9)7-9,10)4-10,11)4-11)3-11,12)3-12)1-12,((13,14)13-14,15,16)13-16)1-16,17,(18,19)18-19,20)1-20,(21,22)21-22)1-22;
76	(((1,2)1-2,3,4,((5,(((6,(7,8)7-8)6-8,9)6-9,(10,11)10-11)6-11)5-11,(((12,13)12-13,14)12-14,15)12-15,16)5-16,(17,18,19)17-19,20)1-20,21,22)1-22;
77	((1,2,3)1-3,(4,(5,((6,7,8)6-8,9,(10,(((11,(12,13,14)12-14,15)11-15,16)11-16,17)11-17)10-17)6-17)5-17)4-17,18,19,(20,(21,22)21-22)20-22)1-22;
78	((1,(2,((3,(((4,(5,6,7)5-7)4-7,(8,9,10,11)8-11,(12,13)12-13)4-13,14,15,((16,17)16-17,18,19)16-19)4-19)3-19,20)3-20)2-20,21)1-21,22)1-22;
79	((1,2)1-2,(((3,4,5)3-5,6)3-6,(7,(8,(9,((((10,(11,12)11-12)10-12,(13,14)13-14,((15,16,17)15-17,18)15-18,19)10-19,20)10-20,21)10-21)9-21)8-21)7-21)3-21,22)1-22;
80	((1,2,((3,(4,5)4-5)3-5,6,((7,(8,(9,(10,11)10-11,(12,(13,14)13-14)12-14)9-14)8-14)7-14,15)7-15)3-15,16)1-16,(17,(18,(19,20)19-20)18-20,(21,22)21-22)17-22)1-22;
81	(((((1,(2,((((3,(((4,5)4-5,(6,7)6-7)4-7,8)4-8)3-8,(9,10)9-10)3-10,11)3-11,12)3-12)2-12)1-12,(13,(14,(15,(16,17)16-17)15-17)14-17)13-17)1-17,18)1-18,(19,20)19-20,21)1-21,22)1-22;
82	((1,(((2,3)2-3,4)2-4,(((((5,(6,(7,8)7-8)6-8)5-8,9)5-9,10)5-10,(((11,12)11-12,13)11-13,14)11-14)5-14,(15,(16,17)16-17)15-17)5-17)2-17,18,19,20)1-20,(21,22)21-22)1-22;
83	((1,2)1-2,(3,((4,5)4-5,(6,7,8)6-8)4-8,(((9,10,(11,12)11-12)9-12,13)9-13,(14,15)14-15)9-15)3-15,(16,((17,18,19)17-19,20,21)17-21)16-21,22)1-22;
84	(1,2,((3,(4,5)4-5)3-5,(6,((((7,8)7-8,9)7-9,((10,(11,12)11-12)10-12,((13,14)13-14,15,16,17,18)13-18)10-18,19,(20,21)20-21)7-21,22)7-22)6-22)3-22)1-22;
85	(1,2,(3,(((4,((5,((6,7)6-7,8,9)6-9)5-9,10)5-10)4-10,((11,12)11-12,(13,14)13-14)11-14,15)4-15,16)4-16,17,(18,19)18-19,20,21)3-21,22)1-22;
86	((((1,(2,3,4)2-4)1-4,(5,((6,7)6-7,(8,9)8-9)6-9,(10,11)10-11)5-11,(12,(13,14,(15,16)15-16)13-16)12-16)1-16,17,18)1-18,19,(20,21)20-21,22)1-22;
87	(1,(((2,3,(4,(5,(((6,7)6-7,((8,9)8-9,10,11)8-11)6-11,12)6-12)5-12)4-12)2-12,(13,14)13-14,(((15,16)15-16,17)15-17,(18,19)18-19)15-19,20,21)2-21,22)2-22)1-22;
88	((1,((2,3)2-3,4,5,(6,(7,8)7-8)6-8,((9,(10,11)10-11)9-11,((12,13,((14,15,16)14-16,17)14-17)12-17,((18,19)18-19,(20,21)20-21)18-21)12-21)9-21)2-21)1-21,22)1-22;
89	(1,(((2,(3,4)3-4)2-4,(5,6)5-6)2-6,(7,(((((((8,9)8-9,10)8-10,11)8-11,12)8-12,(13,14)13-14,15)8-15,(16,17)16-17)8-17,(18,(19,(20,21)20-21)19-21)18-21)8-21)7-21)2-21,22)1-22;
90	(1,((2,(3,(4,5)4-5,(6,(7,8)7-8,9)6-9)3-9,10)2-10,11)2-11,((12,13)12-13,(((14,((15,16)15-16,(17,(18,(19,20)19-20)18-20)17-20)15-20)14-20,21)14-21,22)14-22)12-22)1-22;
91	(((1,2)1-2,3,4,(5,(6,(7,((8,9,(10,(11,12,(13,14,15)13-15)11-15)10-15,16)8-16,17,((18,(19,20)19-20)18-20,21)18-21)8-21)7-21)6-21)5-21)1-21,22)1-22;
92	((((1,2,3,4)1-4,(5,6)5-6)1-6,((7,8)7-8,(9,((10,(11,12)11-12)10-12,13)10-13,(14,15)14-15)9-15)7-15,(16,17)16-17,(18,19)18-19)1-19,20,21,22)1-22;
93	(1,((2,(3,((4,((5,6)5-6,7)5-7)4-7,((8,((((((9,10,11)9-11,12,13)9-13,14)9-14,15)9-15,16)9-16,17,18)9-18,19)8-19,20)8-20)4-20)3-20)2-20,(21,22)21-22)2-22)1-22;
94	(((1,2)1-2,(((3,(4,(5,6)5-6)4-6)3-6,7)3-7,((8,((9,(10,11,12)10-12)9-12,13)9-13)8-13,(14,15)14-15,(16,17)16-17,18,19)8-19)3-19,20)1-20,(21,22)21-22)1-22;
95	(((((1,2)1-2,(3,((((((4,(((5,6)5-6,7)5-7,(8,9)8-9,10)5-10)4-10,11)4-11,(12,13)12-13)4-13,(14,15)14-15)4-15,((16,17)16-17,18)16-18)4-18,19)4-19)3-19)1-19,20)1-20,21)1-21,22)1-22;
96	((1,2)1-2,(3,4,(5,((((6,(7,8)7-8,(9,(10,(11,12)11-12)10-12)9-12)6-12,13)6-13,(((14,15)14-15,16)14-16,(17,18)17-18,19)14-19,(20,21)20-21)6-21,22)6-22)5-22)3-22)1-22;
97	((((1,(((2,3)2-3,4)2-4,5,6,7)2-7)1-7,(8,9,10)8-10)1-10,((11,12)11-12,((((13,((14,15)14-15,16)14-16)13-16,17)13-17,18)13-18,(19,20)19-20)13-20)11-20)1-20,(21,22)21-22)1-22;
98	(1,((2,3,4,5,(6,(7,8)7-8)6-8)2-8,((9,10,11)9-11,12)9-12,(((((13,14,15)13-15,(16,17)16-17)13-17,18,19)13-19,20)13-20,21,22)13-22)2-22)1-22;
99	(1,((2,3,4)2-4,5)2-5,6,((7,(8,(9,(10,(11,(12,(13,14)13-14,15)12-15)11-15,(16,17)16-17,18,19,20)10-20)9-20,21)8-21)7-21,22)7-22)1-22;
100	(((1,(2,3,4,5)2-5)1-5,6,7)1-7,(((8,9)8-9,(10,(11,12,13,14)11-14)10-14,15)8-15,(16,17,(18,19,20)18-20,21)16-21)8-21,22)1-22;
101	((((1,((2,3)2-3,4,((5,6,7)5-7,8)5-8)2-8)1-8,(9,(((10,(11,12,((13,14)13-14,((15,16)15-16,17)15-17)13-17)11-17)10-17,18)10-18,19)10-19)9-19,20)1-20,21)1-21,22)1-22;
102	(1,(2,(3,(4,(((((5,6)5-6,(((7,(8,9,10,11)8-11,12)7-12,13)7-13,(14,15,16)14-16)7-16,17)5-17,18,19)5-19,20)5-20,(21,22)21-22)5-22)4-22)3-22)2-22)1-22;
103	(1,(2,(3,(4,5)4-5,(((6,((7,((8,9)8-9,(10,11)10-11)8-11,12)7-12,((13,(14,15)14-15)13-15,16)13-16)7-16)6-16,(17,18)17-18,(19,20)19-20)6-20,21,22)6-22)3-22)2-22)1-22;
104	(((1,2,3,4)1-4,5)1-5,6,((((7,8,9)7-9,(10,(11,12)11-12)10-12)7-12,13,14)7-14,(((15,16)15-16,((17,18)17-18,19)17-19)15-19,(20,(21,22)21-22)20-22)15-22)7-22)1-22;
105	((1,(2,3)2-3)1-3,((((((4,(((5,6)5-6,7,8)5-8,((9,10)9-10,11,(12,(13,14)13-14)12-14)9-14,15)5-15)4-15,16)4-16,17)4-17,18,19)4-19,(20,21)20-21)4-21,22)4-22)1-22;
106	(1,2,(3,((((4,5,6)4-6,7,8)4-8,9,(10,11)10-11)4-11,(12,13)12-13,14,(15,16)15-16)4-16,(17,18,19)17-19,20)3-20,(21,22)21-22)1-22;
107	((((1,(2,(3,4,(5,6)5-6,7)3-7,(8,((9,((10,11)10-11,((12,13)12-13,14,15)12-15,16)10-16)9-16,17)9-17)8-17,18)2-18)1-18,19)1-19,20,21)1-21,22)1-22;
108	(1,(2,((3,4)3-4,(5,(6,((7,((8,9)8-9,10)8-10)7-10,(11,(12,13,14)12-14,15)11-15)7-15)6-15)5-15,(16,17)16-17)3-17)2-17,18,(((19,20)19-20,21)19-21,22)19-22)1-22;
109	(1,(((2,3,((4,5)4-5,((6,(7,(8,((9,10,11,((12,13)12-13,(14,15)14-15)12-15)9-15,((16,17)16-17,18)16-18)9-18)8-18)7-18)6-18,19,20)6-20)4-20)2-20,21)2-21,22)2-22)1-22;
110	(1,(2,3,(4,(5,(6,(((7,8)7-8,(((9,10,11)9-11,12,13)9-13,((14,15)14-15,(16,(17,18)17-18)16-18)14-18)9-18,19)7-19,20)7-20)6-20)5-20,21)4-21)2-21,22)1-22;
111	((1,(2,3)2-3,4)1-4,(5,(6,(7,8,9,((10,((11,(12,13)12-13)11-13,(14,(15,16)15-16)14-16,17,18,(19,20)19-20)11-20)10-20,21,22)10-22)7-22)6-22)5-22)1-22;
112	(((((1,2)1-2,3)1-3,4)1-4,(((5,(6,7)6-7)5-7,8)5-8,9)5-9,10)1-10,(11,(12,(13,((((14,(15,(16,17)16-17)15-17)14-17,18,19)14-19,20)14-20,21)14-21)13-21)12-21,22)11-22)1-22;
113	(1,2,(((3,4,(5,(6,7)6-7,(8,9)8-9)5-9)3-9,((10,11)10-11,12,(13,14)13-14)10-14,(15,16)15-16,17)3-17,18)3-18,(19,(20,21)20-21,22)19-22)1-22;
114	(((((1,2,(3,4)3-4,5)1-5,6)1-6,7)1-7,(((8,9)8-9,10,(11,(12,13,(((14,15,16)14-16,17,18)14-18,19)14-19)12-19)11-19)8-19,(20,21)20-21)8-21)1-21,22)1-22;
115	(((1,((2,3)2-3,((4,5)4-5,6,(7,((((8,9)8-9,10,(11,12,13)11-13)8-13,14)8-14,15)8-15)7-15)4-15)2-15)1-15,16)1-16,(17,18)17-18,((19,20,21)19-21,22)19-22)1-22;
116	(1,2,(3,((4,(5,6)5-6,7,8,9)4-9,(10,11)10-11,((((12,13)12-13,(14,15)14-15,16)12-16,(17,18)17-18,19)12-19,20)12-20,21)4-21,22)3-22)1-22;
117	(((1,(2,3,4)2-4,((5,((6,7,8,9)6-9,(((10,11)10-11,12)10-12,13,14,15)10-15,16)6-16)5-16,(17,(18,19)18-19)17-19)5-19,20)1-20,21)1-21,22)1-22;
118	((1,((2,3)2-3,4,5,(6,(7,8)7-8)6-8,((9,10,11)9-11,((12,13)12-13,(14,((15,16)15-16,((17,18)17-18,(19,20)19-20)17-20)15-20)14-20)12-20)9-20)2-20)1-20,21,22)1-22;
