Element	Position_Name	Position_Number	widescope_right	widescope_left	fillable_botheither_conjunct				
[ex-]	v:latinprefix	29	n	n	y				
[fore-]	v:latinprefix	29	n	n	y				
[inter-]	v:latinprefix	29	n	n	y				
[intra-]	v:latinprefix	29	n	n	y				
[mis-]	v:latinprefix	29	n	n	y				
[ob-]	v:latinprefix	29	n	n	y				
[para-]	v:latinprefix	29	n	n	y				
[per-]	v:latinprefix	29	n	n	y				
[pro-]	v:latinprefix	29	n	n	y				
[se-]	v:latinprefix	29	n	n	y				
[sub-]	v:latinprefix	29	n	n	y				
[sup-]	v:latinprefix	29	n	n	y				
[sur-]	v:latinprefix	29	n	n	y				
[syn-]	v:latinprefix	29	n	n	y				
[tele-]	v:latinprefix	29	n	n	y				
[up-]	v:latinprefix	29	n	n	y				
ROOT	v:verbroot	30	n	n	y				
[-ed]	v:verbinflection	31	n	n	y				
[-ing]	v:verbinflection	31	n	n	y				
[-s]	v:verbinflection	31	n	n	y				
AD-V	v:ad-V3	32	n	n	y				
VERBPART	v:NP{P,T}	33	n	n	y	cleaned up the kitchen and used the soap		cleaned up the kitchen and used up the soap	
NP{P,T}	v:NP{P,T}	33	y	y	y				
NP{R}	v:NP{R}	34	n	n	y				
AD-VP	v:ad-VP6	35	n	n	y				
PP	v:PP	36	y	y	y				
AD-S	v:rightedge	37	n	n	y				
